,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
153,2021-01-14, Warehouse Section Leader,"Current Employee, more than 1 year","Bolton, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Nights,"It's a 48 hour working week, but with the shift times you get so much out of your free time. It's the best work-life balance I've had in 8 years of retail.

Looking at salaries of similar jobs, and even those elsewhere with more responsibility, nowhere compares to Aldi in terms of logistics pay.","A lot of people are comfortable in their roles, and are happy to stay there until retirement. As such, positions can stay occupied for a long time which can limit progression opportunities.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
155,2021-01-15, Deputy Manager,"Current Employee, more than 5 years","Bath, England, England",5,2.0,3.0,3.0,4.0,4.0,4.0,v,r,r,Good place to work,In store progression and salary,Long hours and work life balance,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
157,2021-01-15, Store Assistant,"Former Employee, less than 1 year","Hunslet, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,x,Ask for too much,Stacking selves and scanning items doesn't require much thought.,"Managers will try guilt trip you into working faster even if you are new to the store because ""Aldi is efficient and about pace"". Management will expect you to pick up overtime even if you cannot do it. Many of the managers have a power trip and believe that you have to do all the leg work and will not assist you. They believe getting paid £1 more than minimum wage is enough of a reason to pester you about your work pace even if you are already working as fast as you can. A few members of staff openly expressed derogatory, racist and homophobic slurs and views, when the management were told, no action was taken.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
159,2021-01-20, Deputy Manager,Current Employee,"Manchester, England, England",3,2.0,3.0,4.0,2.0,3.0,2.0,x,r,x,Good money but you are just another number !,"Good money (just had 1.5% pay rise 1.2.21) , benefit scheme , Holliday pay (28 days ) sick pay not bad (1 week full pay for every year you’ve been with company  ) flexibility (depending on what store your in )paid breaks (30 minutes ) fast paced you will never be sat around doing nothing","Absolutely no where near enough training given get thrown in at the deepend and expect to know everything straight away , the store morale and energy can all depend on what area manager and store manager you have , can have a massive impact on your mental health if you get inexperienced /lazy /miserable managers who expect too much . Customers are abusive and can be threatening ( again the intensity can all depend on which store you work at ) favouritism between certain managers , they give the more switched on / harder working employees a heavier work load and the crap ones get shoved on a till. Unless your exceptional don’t expect to get promoted , assistant managers are getting phased out now to bare minimum (to cut costs ) I know outstanding deputy managers who have been trying to get promoted for 8+ years now and still no where near. Very little promotion going on , older managers become comfortable and aspiring managers are left to graft continuously with the carrot dangling. You are not appreciated for the work you do , just another number.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
161,2021-01-20, Store Manager,Current Employee,"Sheffield, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Good.,Efficient and good company to work for,Hard work and lots of running about,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
163,2021-01-20, Warehouse Operative/Picker,"Former Employee, more than 5 years","Chelmsford, England, England",3,2.0,3.0,3.0,3.0,3.0,2.0,x,r,o,Top heavy in the middle management,"Used, to, be, hourly, rate,","Useless management, can not stress this enough",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
165,2021-01-21, Shop Assistant,"Current Employee, more than 3 years","Sheffield, England, England",4,2.0,5.0,5.0,4.0,3.0,5.0,v,v,v,Sales assistant,"Fast paced, Efficient , well paid, best leading supermarket","They make you work, specific targets, managers have a tough time",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
167,2021-01-22, Aldi Store Manager,Current Employee,"Perth, Scotland, Scotland",5,2.0,3.0,5.0,4.0,4.0,5.0,v,o,v,Hard work,It does pay quite well.,The hours can be long and the work demanding.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
169,2021-01-23, Hgv Driver,Current Employee,"Tamworth, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,r,No comment,There is none literally none,"I have no comment to this ,was a good company at first",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
171,2021-01-24, Deputy Store Manager,"Current Employee, more than 1 year","Crieff, Scotland, Scotland",5,4.0,5.0,5.0,5.0,4.0,5.0,v,r,v,Great company to work for but very demanding!,"Good pay, training and feedback. Always opportunities for progression. Very good morale within the stores and lots of communication between all levels of management.",Don’t apply for the job if you are just interested in the money. Tough target times are set and it is a very fast paced environment which is very physically demanding.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
173,2021-01-24, Senior DSM,Current Employee,"London, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Best of the best,Best company I ever work with,hard work is essential at Aldi,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
175,2021-01-25, Assistant Store Manager,Current Employee,"London, England, England",4,4.0,4.0,5.0,4.0,5.0,3.0,v,v,v,Great company,"Good pay
Realistic expectations within role
Great leadership",None in my personal opinion,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
177,2021-01-26, Assistant Manager,Former Employee,"Winchester, England, England",2,1.0,3.0,3.0,4.0,1.0,1.0,x,v,x,Good Pay but shocking work/life balance,"Good Salary, Progression friendly, Challenging","Worked to the bone to the point of imminent breakdown
You’re just a number",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
179,2021-01-26, Store Manager,"Current Employee, more than 3 years","Birmingham, England, England",1,1.0,1.0,2.0,3.0,3.0,1.0,x,x,x,For such a successful company it’s hard to see how,"Pretty good pay
Flexible holidays
Plan your own rotas","No work life balance 
Live day by day, no forward planning
Little to no training
Incompetent area managers with no retail experience 
Poor logistics and warehouse deliverance",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
181,2021-01-27, Area Manager,"Former Employee, more than 1 year","Neston, North West England, England, England",3,1.0,3.0,3.0,5.0,5.0,3.0,x,v,v,Good for a bit,"Salary, company car, progression, store colleagues","Hours, management, stress, pressure, expectations",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
183,2021-01-27, Deputy,"Current Employee, more than 3 years","Bolton, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,.,Aldi perks and good money payed,Start times are not ideal,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
185,2021-01-28, Store Assistant,"Former Employee, more than 3 years","Irvine, Scotland, Scotland",5,4.0,4.0,4.0,2.0,4.0,2.0,v,x,v,Also,Good working environment staff all friendly,Higher management don’t really bother with store assistants,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
187,2021-01-28, Store Manager,"Former Employee, more than 1 year","London, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,x,WORST COMPANY I HAVE EVER WORKED FOR,"Great colleagues, Hard working, pay is good","illegal ways around employment law, bullying managers, area managers with no people skills, everyone is a shelf filler, always trying to plaster the cracks",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
189,2021-01-29, Store Assistant,Current Employee,"Derby, England, England",5,4.0,5.0,5.0,5.0,5.0,5.0,v,o,v,Great employer,"motivating, engaging, varied, physical, supportive",early starts can be an issue for some employees,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
191,2021-01-31, Aldi Manager,Current Employee,"Nottingham, England, England",5,4.0,5.0,5.0,5.0,5.0,5.0,v,o,v,Great company to work for,"pays well, always busy and lots of room for progression.",other supermarkets are starting to pay more so the benefit is starting to wear off.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
193,2021-02-01, Deputy Manager,"Current Employee, more than 3 years","London, England, England",1,1.0,2.0,5.0,4.0,3.0,5.0,x,r,v,No work life Balance,"Good pay
Great team work
Good rates of progression.","No work life balance 
Extremely demanding physically 
Not suitable if you have physical limitations",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
195,2021-02-01, Store Assistant,"Current Employee, more than 5 years","Cardiff, Wales, Wales",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Vile treatment,None they have left me desolate with no pay being off with mental health relying on food banks,Plenty ..better off working for Asda or anywhere,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
197,2021-02-01, Store Assistant,Current Employee,"Manchester, England, England",4,5.0,3.0,4.0,4.0,2.0,2.0,o,v,o,OK,"Flexible and good salary, don't get bored on shifts!","Some poor management, different opinions/politics",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
199,2021-02-02, Assistant Store Manager,"Current Employee, more than 8 years","Birmingham, England, England",4,2.0,2.0,2.0,3.0,3.0,3.0,x,r,v,ASM Aldi UK,Pay and ambiguity of job and challenges from day to day,"Working hours, stress of poor performing staff, customer facing.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
201,2021-02-02, Deputy Manager,"Current Employee, more than 8 years","Derby, England, England",4,3.0,4.0,3.0,4.0,4.0,4.0,v,v,v,Pays well,"Always busy, never a dull day",Not enough hours in the day to finish all jobs,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
203,2021-02-02, Personal Banker,Current Employee,"Wigan, England, England",3,3.0,3.0,3.0,2.0,2.0,3.0,x,v,v,Amazing,Brilliant demanding comforting showstopping lovely,Not so brilliant awful disgusting,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
205,2021-02-02, Store Assistant,"Current Employee, more than 3 years","Gateshead, England, England",4,3.0,3.0,4.0,3.0,3.0,4.0,v,r,v,Good company,Accommodating good pay good team,Long wait for progression long hours,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
207,2021-02-03, Area Manager,"Former Employee, more than 1 year","Bury, North West England, England, England",4,4.0,4.0,4.0,4.0,4.0,4.0,v,v,v,Fantastic,You are given a lot of responsibility,You have to work long hours at times,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
209,2021-02-05, HGV DriverClass1,"Current Employee, more than 3 years","Bathgate, Scotland, Scotland",5,3.0,4.0,4.0,1.0,4.0,5.0,v,o,v,Good job,"Management treat you well, looked after. Good clean work with a tidy fleet","A lot of weekends, but you know that when you start",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
211,2021-02-06, Store Assistant,Current Employee,"Peterborough, England, England",4,2.0,5.0,4.0,3.0,4.0,2.0,v,o,r,it's okay,"Aldi has good benefits, good holiday. I get on with most of the people in my store and we work well as a team but it really depends what store you work at.","short breaks, work can be hard physically and mentally, fast paced work environment where you are just a number",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
